disease_name	disease_id	953_cmpds	1049_cmpds	1150_cmpds	1250_cmpds	1350_cmpds	1450_cmpds	1550_cmpds	1650_cmpds	1750_cmpds	1852_cmpds	1950_cmpds	2050_cmpds	2150_cmpds	2250_cmpds	2294_cmpds	953_top10	1049_top10	1150_top10	1250_top10	1350_top10	1450_top10	1550_top10	1650_top10	1750_top10	1852_top10	1950_top10	2050_top10	2150_top10	2250_top10	2294_top10
Hypertension	MESH:D006973	88	107	126	144	167	179	201	219	231	246	258	268	275	285	288	78.4	81.3	80.1	80.5	82	81.5	82	83.5	83.9	84.9	85.2	85.8	85	83.8	84
Seizures	MESH:D012640	72	84	95	118	142	153	173	193	204	221	232	244	254	262	268	72.2	71.4	71.5	76.2	79.5	80.3	82.6	84.9	84.8	86.8	87	88.9	88.9	88.1	87.3
Pain	MESH:D010146	55	64	78	102	130	151	171	193	207	222	232	243	251	259	261	43.6	53.1	52.5	59.8	73	77.4	82.4	82.3	84	85.1	84.4	83.5	83.2	82.2	80.8
Inflammation	MESH:D007249	49	53	58	78	96	110	119	127	138	143	152	160	166	170	171	73.4	73.5	70.6	66.6	68.7	70.9	70.5	70	70.2	71.3	71.7	70	70.4	70.5	70.7
Chemical and Drug Induced Liver Injury	MESH:D056486	49	54	59	74	82	94	102	110	126	130	145	154	162	167	170	69.3	72.2	72.8	70.2	70.7	74.4	68.6	66.3	67.4	66.1	72.4	72	70.3	70.6	70
Breast Neoplasms	MESH:D001943	44	47	54	64	75	81	90	97	116	122	131	139	145	156	158	56.8	59.5	62.9	60.9	69.3	67.9	68.8	68	68.9	68.8	70.2	69.7	68.9	70.5	70.2
Hyperalgesia	MESH:D006930	39	44	49	62	78	86	96	107	111	123	131	140	141	145	148	46.1	45.4	38.7	41.9	51.2	53.4	59.3	61.6	61.2	58.5	62.5	62.8	62.4	63.4	62.1
Kidney Diseases	MESH:D007674	38	43	47	58	71	79	93	102	110	115	128	134	140	144	145	47.3	48.8	42.5	48.2	49.2	54.4	55.9	59.8	57.2	58.2	58.5	58.9	59.2	57.6	56.5
Necrosis	MESH:D009336	40	43	47	60	71	81	90	100	109	120	129	134	137	138	142	45	44.1	40.4	50	47.8	53	52.2	52	55	55	58.9	61.1	59.1	57.9	59.8
Edema	MESH:D004487	39	41	51	58	76	87	98	107	116	119	127	131	134	136	137	64.1	63.4	54.9	50	63.1	62	67.3	72.8	71.5	70.5	68.5	67.1	66.4	65.4	65.6
Depressive Disorder	MESH:D003866	41	43	49	60	76	81	92	101	108	112	120	126	128	129	131	63.4	67.4	61.2	63.3	65.7	62.9	59.7	60.3	63.8	65.1	68.3	69	67.9	68.2	67.9
Hyperkinesis	MESH:D006948	45	50	52	63	76	81	91	101	104	109	114	119	125	127	129	60	62	61.5	57.1	65.7	62.9	65.9	66.3	67.3	69.7	69.2	69.7	70.3	70	69.7
Substance Withdrawal Syndrome	MESH:D013375	31	37	39	49	62	69	79	89	96	102	110	117	120	123	126	25.8	27	30.7	42.8	51.6	56.5	62	65.1	64.5	66.6	66.3	67.5	68.3	67.4	69
Catalepsy	MESH:D002375	42	45	48	58	71	77	87	96	100	106	109	115	120	125	126	50	51.1	56.2	68.9	70.4	71.4	72.4	73.9	76	75.4	76.1	74.7	75.8	76	76.1
Prostatic Neoplasms	MESH:D011471	36	38	42	48	51	59	67	71	85	90	98	109	116	121	122	50	50	47.6	39.5	39.2	35.5	46.2	42.2	47	48.8	54	57.7	62	62.8	61.4
Hypotension	MESH:D007022	29	32	39	53	56	64	73	83	94	104	107	113	118	120	122	44.8	46.8	43.5	49	48.2	46.8	56.1	56.6	59.5	59.6	59.8	60.1	61	60	59.8
