disease_name	disease_id	1049-953_cmpd_diff	1150-1049_cmpd_diff	1250-1150_cmpd_diff	1350-1250_cmpd_diff	1450-1350_cmpd_diff	1550-1450_cmpd_diff	1650-1550_cmpd_diff	1750-1650_cmpd_diff	1852-1750_cmpd_diff	1950-1852_cmpd_diff	2050-1950_cmpd_diff	2150-2050_cmpd_diff	2250-2150_cmpd_diff	2294-2250_cmpd_diff	1049-953_top10_diff	1150-1049_top10_diff	1250-1150_top10_diff	1350-1250_top10_diff	1450-1350_top10_diff	1550-1450_top10_diff	1650-1550_top10_diff	1750-1650_top10_diff	1852-1750_top10_diff	1950-1852_top10_diff	2050-1950_top10_diff	2150-2050_top10_diff	2250-2150_top10_diff	2294-2250_top10_diff
Hypertension	MESH:D006973	19	19	18	23	12	22	18	12	15	12	10	7	10	3	2.9	-1.2	0.4	1.5	-0.5	0.5	1.5	0.4	1	0.3	0.6	-0.8	-1.2	0.2
Seizures	MESH:D012640	12	11	23	24	11	20	20	11	17	11	12	10	8	6	-0.8	0.1	4.7	3.3	0.8	2.3	2.3	-0.1	2	0.2	1.9	0	-0.8	-0.8
Pain	MESH:D010146	9	14	24	28	21	20	22	14	15	10	11	8	8	2	9.5	-0.6	7.3	13.2	4.4	5	-0.1	1.7	1.1	-0.7	-0.9	-0.3	-1	-1.4
Inflammation	MESH:D007249	4	5	20	18	14	9	8	11	5	9	8	6	4	1	0.1	-2.9	-4	2.1	2.2	-0.4	-0.5	0.2	1.1	0.4	-1.7	0.4	0.1	0.2
Chemical and Drug Induced Liver Injury	MESH:D056486	5	5	15	8	12	8	8	16	4	15	9	8	5	3	2.9	0.6	-2.6	0.5	3.7	-5.8	-2.3	1.1	-1.3	6.3	-0.4	-1.7	0.3	-0.6
Breast Neoplasms	MESH:D001943	3	7	10	11	6	9	7	19	6	9	8	6	11	2	2.7	3.4	-2	8.4	-1.4	0.9	-0.8	0.9	-0.1	1.4	-0.5	-0.8	1.6	-0.3
Hyperalgesia	MESH:D006930	5	5	13	16	8	10	11	4	12	8	9	1	4	3	-0.7	-6.7	3.2	9.3	2.2	5.9	2.3	-0.4	-2.7	4	0.3	-0.4	1	-1.3
Kidney Diseases	MESH:D007674	5	4	11	13	8	14	9	8	5	13	6	6	4	1	1.5	-6.3	5.7	1	5.2	1.5	3.9	-2.6	1	0.3	0.4	0.3	-1.6	-1.1
Necrosis	MESH:D009336	3	4	13	11	10	9	10	9	11	9	5	3	1	4	-0.9	-3.7	9.6	-2.2	5.2	-0.8	-0.2	3	0	3.9	2.2	-2	-1.2	1.9
Edema	MESH:D004487	2	10	7	18	11	11	9	9	3	8	4	3	2	1	-0.7	-8.5	-4.9	13.1	-1.1	5.3	5.5	-1.3	-1	-2	-1.4	-0.7	-1	0.2
