num_approved	num_cmpds	ia
1250	144	80.5
1250	118	76.2
1250	102	59.8
1250	78	66.6
1250	74	70.2
1250	64	60.9
1250	62	41.9
1250	58	48.2
1250	60	50
1250	58	50
1250	60	63.3
1250	63	57.1
1250	49	42.8
1250	58	68.9
1250	48	39.5
1250	53	49
1250	48	18.7
1250	52	36.5
1250	46	56.5
1250	42	54.7
1250	40	45
1250	42	52.3
1250	35	62.8
1250	39	30.7
1250	36	36.1
1250	42	52.3
1250	31	45.1
1250	41	46.3
1250	34	50
1250	38	26.3
1250	30	40
1250	30	23.3
1250	34	35.2
1250	33	48.4
1250	26	38.4
1250	21	61.9
1250	42	45.2
1250	31	64.5
1250	30	50
1250	40	50
1250	31	32.2
1250	37	43.2
1250	26	57.6
1250	20	60
1250	30	30
1250	27	40.7
1250	26	42.3
1250	44	54.5
1250	33	27.2
1250	27	51.8
1250	20	25
1250	33	39.3
1250	22	27.2
1250	17	29.4
1250	19	21
1250	18	27.7
1250	23	69.5
1250	21	38
1250	17	11.7
1250	19	47.3
1250	12	8.33
1250	21	38
1250	21	33.3
1250	27	11.1
1250	23	13
1250	28	46.4
1250	21	71.4
1250	19	10.5
1250	21	33.3
1250	22	27.2
1250	26	42.3
1250	19	57.8
1250	16	37.5
1250	20	65
1250	26	34.6
1250	17	35.2
1250	22	27.2
1250	23	39.1
1250	16	75
1250	24	20.8
1250	11	9.09
1250	22	40.9
1250	18	33.3
1250	29	34.4
1250	24	62.5
1250	15	26.6
1250	18	16.6
1250	22	36.3
1250	14	21.4
1250	19	10.5
1250	23	13
1250	15	33.3
1250	22	36.3
1250	17	29.4
1250	20	30
1250	26	61.5
1250	24	37.5
1250	14	42.8
1250	15	33.3
1250	17	35.2
1250	20	35
1250	17	41.1
1250	18	66.6
1250	21	47.6
1250	17	11.7
1250	20	15
1250	14	21.4
1250	18	5.55
1250	17	23.5
1250	16	6.25
1250	13	0
1250	16	25
1250	21	28.5
1250	23	65.2
1250	17	23.5
1250	5	0
1250	17	0
1250	15	33.3
1250	12	8.33
1250	11	27.2
1250	14	7.14
1250	16	6.25
1250	16	87.5
1250	19	21
1250	21	19
1250	12	50
1250	16	6.25
1250	11	45.4
1250	13	15.3
1250	9	0
1250	19	36.8
1250	10	0
1250	15	26.6
1250	18	5.55
1250	14	42.8
1250	8	25
1250	19	31.5
1250	10	20
1250	19	52.6
1250	18	11.1
1250	8	0
1250	18	72.2
1250	8	25
1250	12	0
1250	14	64.2
1250	13	30.7
